Evaluation took:
  42.202 seconds of real time
  42.461852 seconds of total run time (34.305675 user, 8.156177 system)
  [ Run times consist of 0.418 seconds GC time, and 42.044 seconds non-GC time. ]
  100.62% CPU
  129,710,136,447 processor cycles
  2,478,721,072 bytes consed


Number of samples:   4236
Sample interval:     0.001 seconds
Total sampling time: 4.236 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "Swank Sentinel" RUNNING {1002D05593}>
 #<SB-THREAD:THREAD "control-thread" RUNNING {10030978A3}>
 #<SB-THREAD:THREAD "swank-indentation-cache-thread" RUNNING {1003098173}>
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {100310FDA3}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {100310FFA3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
------------------------------------------------------------------------
   1    354   8.4    354   8.4    354   8.4        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
   2    130   3.1    172   4.1    484  11.4        -  V!
   3    103   2.4    103   2.4    587  13.9        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
   4     85   2.0    152   3.6    672  15.9        -  REPLACE
   5     78   1.8     78   1.8    750  17.7        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/dlisp3.fasl")
   6     74   1.7     74   1.7    824  19.5        -  (SETF %RTG-MATH.MATRIX3.COMMON:MELM)
   7     70   1.7     70   1.7    894  21.1        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
   8     69   1.6     86   2.0    963  22.7        -  "foreign function __vdso_gettimeofday"
   9     63   1.5    213   5.0   1026  24.2        -  SB-VM::GENERIC-+
  10     61   1.4     86   2.0   1087  25.7        -  SB-KERNEL:TWO-ARG-<
  11     61   1.4     85   2.0   1148  27.1        -  (FLET #:BODY-FUN-558 :IN SB-IMPL::GETHASH3)
  12     58   1.4    232   5.5   1206  28.5        -  SB-KERNEL:%SINGLE-FLOAT
  13     57   1.3     75   1.8   1263  29.8        -  TRUNCATE
  14     56   1.3     56   1.3   1319  31.1        -  SB-KERNEL:TWO-ARG-GCD
  15     53   1.3     53   1.3   1372  32.4        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/christophe/src/sbcl-release-dir-20170530-aobhhg1yU/sbcl-1.3.18/src/pcl/braid.fasl")
